name,cell_id,base_name,strategy,sweep_key,sweep_params,env_id,checkpoint_epoch,checkpoint_run_dir,config_sha256,manifest_sha256,manifest_file_sha256,episodes,goal_offset,success_rate,plans,steps,latent_work_total,bits_used_total,dynamics_flops_total,cem_cost_calls,candidate_action_values,pop_size,elite_frac,topk,n_iter,plan_time_total_sec,wall_time_sec,schedule_level_counts,schedule_k_counts,schedule,role,seed,output_json
published,upstream_lewm_converted,published,upstream_lewm_converted,{},{},swm/ReacherDMControl-v0,0,checkpoints_mwm/upstream_lewm_reacher,22f36072db4bb05cd8d86a6d365ab61e17d0602bdf3750796481865bf89fb9d8,f3acf1d0e34bbc365a36fcc68a98a5e534f1ff5f7b805924a35749199d1379bf,d67c959db19e6c529e689264a4c34e2e466fff6ca2ea7b2af9c88e58f5141a1f,100,25,96.0,4,100,576000000,18432000000,169596475200000,2000,30000000,300,0.1,30,10,82.38739176769741,125.06647667684592,"{""0"": 2000}","{""192"": 2000}","{'enabled': True, 'mpc': {'mode': 'fixed', 'level': 'finest'}, 'cem': {'mode': 'fixed', 'level': 'base'}, 'rollout': {'mode': 'fixed', 'level': 'base'}}",upstream_lewm_converted,91943,reports/research/k192_sepopt_published_parity_20260924/final_n100/reacher/seed_91943/000_published/eval.json
sepopt_k192_20260922,sepopt_k192_20260922,sepopt_k192_20260922,sepopt_k192_20260922,{},{},swm/ReacherDMControl-v0,0,checkpoints_mwm/mwm_paper10_reacher_k192_sepopt_retrain_20260922,296d42a3fbadcf611c25da09d4deb9551775ec592e6a339d8dded3139091555e,f3acf1d0e34bbc365a36fcc68a98a5e534f1ff5f7b805924a35749199d1379bf,d67c959db19e6c529e689264a4c34e2e466fff6ca2ea7b2af9c88e58f5141a1f,100,25,99.0,4,100,576000000,18432000000,169596475200000,2000,30000000,300,0.1,30,10,83.09128220565617,121.66632158588618,"{""0"": 2000}","{""192"": 2000}","{'enabled': True, 'mpc': {'mode': 'fixed', 'level': 'finest'}, 'cem': {'mode': 'fixed', 'level': 'base'}, 'rollout': {'mode': 'fixed', 'level': 'base'}}",sepopt_k192_20260922,91943,reports/research/k192_sepopt_published_parity_20260924/final_n100/reacher/seed_91943/001_sepopt_k192_20260922/eval.json
