Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #579: len=85, num_frames=101
Ignored short sequence #582: len=65, num_frames=101
Ignored short sequence #598: len=56, num_frames=101
Ignored short sequence #599: len=64, num_frames=101
Ignored short sequence #604: len=69, num_frames=101
Ignored short sequence #607: len=69, num_frames=101
Ignored short sequence #618: len=75, num_frames=101
Ignored short sequence #621: len=80, num_frames=101
Ignored short sequence #629: len=92, num_frames=101
Ignored short sequence #632: len=75, num_frames=101
Ignored short sequence #634: len=90, num_frames=101
Ignored short sequence #637: len=84, num_frames=101
Ignored short sequence #638: len=92, num_frames=101
Ignored short sequence #639: len=73, num_frames=101
Ignored short sequence #642: len=64, num_frames=101
Ignored short sequence #646: len=89, num_frames=101
Ignored short sequence #651: len=69, num_frames=101
Ignored short sequence #654: len=94, num_frames=101
Ignored short sequence #657: len=56, num_frames=101
Ignored short sequence #659: len=95, num_frames=101
Ignored short sequence #661: len=85, num_frames=101
Ignored short sequence #670: len=49, num_frames=101
Ignored short sequence #672: len=69, num_frames=101
Ignored short sequence #673: len=99, num_frames=101
Ignored short sequence #675: len=97, num_frames=101
Ignored short sequence #686: len=81, num_frames=101
Ignored short sequence #694: len=95, num_frames=101
Ignored short sequence #695: len=70, num_frames=101
Ignored short sequence #703: len=49, num_frames=101
Ignored short sequence #711: len=56, num_frames=101
Ignored short sequence #712: len=67, num_frames=101
Ignored short sequence #715: len=60, num_frames=101
Ignored short sequence #717: len=97, num_frames=101
Ignored short sequence #718: len=90, num_frames=101
Ignored short sequence #719: len=83, num_frames=101
Ignored short sequence #725: len=90, num_frames=101
Ignored short sequence #726: len=83, num_frames=101
Ignored short sequence #729: len=64, num_frames=101
Ignored short sequence #732: len=67, num_frames=101
Ignored short sequence #733: len=60, num_frames=101
Ignored short sequence #735: len=75, num_frames=101
Ignored short sequence #740: len=83, num_frames=101
Ignored short sequence #746: len=49, num_frames=101
Ignored short sequence #747: len=65, num_frames=101
Ignored short sequence #757: len=97, num_frames=101
Ignored short sequence #758: len=97, num_frames=101
Ignored short sequence #759: len=97, num_frames=101
Ignored short sequence #761: len=78, num_frames=101
Ignored short sequence #764: len=69, num_frames=101
Ignored short sequence #765: len=94, num_frames=101
Ignored short sequence #773: len=56, num_frames=101
Ignored short sequence #777: len=90, num_frames=101
Ignored short sequence #781: len=94, num_frames=101
Ignored short sequence #785: len=94, num_frames=101
Ignored short sequence #788: len=82, num_frames=101
Ignored short sequence #789: len=97, num_frames=101
Ignored short sequence #791: len=78, num_frames=101
Ignored short sequence #792: len=78, num_frames=101
Ignored short sequence #793: len=94, num_frames=101
Ignored short sequence #795: len=64, num_frames=101
Ignored short sequence #798: len=73, num_frames=101
Ignored short sequence #800: len=68, num_frames=101
Ignored short sequence #803: len=90, num_frames=101
Ignored short sequence #807: len=84, num_frames=101
Ignored short sequence #808: len=97, num_frames=101
Ignored short sequence #812: len=60, num_frames=101
Ignored short sequence #821: len=94, num_frames=101
Ignored short sequence #822: len=92, num_frames=101
Ignored short sequence #823: len=80, num_frames=101
Ignored short sequence #829: len=97, num_frames=101
Ignored short sequence #831: len=64, num_frames=101
Ignored short sequence #832: len=83, num_frames=101
