name,cell_id,base_name,strategy,sweep_key,sweep_params,env_id,checkpoint_epoch,checkpoint_run_dir,config_sha256,manifest_sha256,manifest_file_sha256,episodes,goal_offset,success_rate,plans,steps,latent_work_total,bits_used_total,dynamics_flops_total,cem_cost_calls,candidate_action_values,pop_size,elite_frac,topk,n_iter,plan_time_total_sec,wall_time_sec,schedule_level_counts,schedule_k_counts,schedule,role,seed,output_json
published,upstream_lewm_converted,published,upstream_lewm_converted,{},{},swm/TwoRoom-v1,0,checkpoints_mwm/upstream_lewm_tworoom,9eb75adddaf850f182ceea145ad423476ed3e294a3b7cbe5e65215756ed34e7e,5b9ca61485a867d80cd1eb91c42335e56579007818516124dc3a2edb0548979b,b16d0a63cc7f37193a4c4948401f1c50ee21018fad66b1cd37d7f1137cbac7ea,100,25,85.0,4,100,576000000,18432000000,169596475200000,2000,30000000,300,0.1,30,10,83.38225190108642,96.01608072011732,"{""0"": 2000}","{""192"": 2000}","{'enabled': True, 'mpc': {'mode': 'fixed', 'level': 'finest'}, 'cem': {'mode': 'fixed', 'level': 'base'}, 'rollout': {'mode': 'fixed', 'level': 'base'}}",upstream_lewm_converted,2002,reports/research/k192_sepopt_published_parity_20260924/final_n100/tworoom/seed_2002/000_published/eval.json
sepopt_k192_20260922,sepopt_k192_20260922,sepopt_k192_20260922,sepopt_k192_20260922,{},{},swm/TwoRoom-v1,0,checkpoints_mwm/mwm_paper10_tworoom_k192_sepopt_retrain_20260922,d3260e6ea3c6b61d63218688cc81a74f196665e423b7c6b49b2601bb0bd06e83,5b9ca61485a867d80cd1eb91c42335e56579007818516124dc3a2edb0548979b,b16d0a63cc7f37193a4c4948401f1c50ee21018fad66b1cd37d7f1137cbac7ea,100,25,96.0,4,100,576000000,18432000000,72172296000000,2000,30000000,300,0.1,30,10,83.83729391987436,91.44138851203024,"{""0"": 2000}","{""192"": 2000}","{'enabled': True, 'mpc': {'mode': 'fixed', 'level': 'finest'}, 'cem': {'mode': 'fixed', 'level': 'base'}, 'rollout': {'mode': 'fixed', 'level': 'base'}}",sepopt_k192_20260922,2002,reports/research/k192_sepopt_published_parity_20260924/final_n100/tworoom/seed_2002/001_sepopt_k192_20260922/eval.json
