environment,episodes_per_seed_per_model,seeds,published_mean,published_ci95_low,published_ci95_high,retrained_mean,retrained_ci95_low,retrained_ci95_high,paired_delta_mean,paired_delta_ci95_low,paired_delta_ci95_high
ogb_cube,100,"[2002, 71623, 82715, 86604, 91943]",71.2,67.98603242926801,74.413967570732,71.2,67.98603242926801,74.413967570732,0.0,-3.511956132340338,3.511956132340338
reacher,100,"[2002, 71623, 82715, 86604, 91943]",96.6,94.71692331165156,98.48307668834843,97.6,95.17955127283092,100.02044872716907,1.0,-1.3229406353851942,3.3229406353851942
pusht,100,"[2002, 71623, 82715, 86604, 91943]",86.4,81.31069205701658,91.48930794298343,92.4,90.51692331165157,94.28307668834844,6.0,-0.6865652654128427,12.686565265412842
tworoom,100,"[2002, 71623, 82715, 86604, 91943]",83.4,79.8228007155299,86.97719928447012,93.6,90.74147480901297,96.45852519098702,10.2,7.811611611900014,12.588388388099984
