stage,environment,seed,role,episodes,success_rate,plans,steps,cem_cost_calls,dynamics_flops_total,plan_time_total_sec,wall_time_sec,manifest_file_sha256
screen,tworoom,0,sepopt_k192_20260922,50,94.0,2,50,1000,36086148000000,41.03752006916329,47.36321303900331,a8f28b87c32d7c6ee8714174d477a6636b1c18cf3c8074de9ecba9ab6912eabb
screen,tworoom,1,upstream_lewm_converted,50,96.0,2,50,1000,84798237600000,40.8878535318654,50.26228783396073,ffb05fbe610ba55ba32dcfbc01cbac01105461292cacd07a98ccb756a7ab15ab
screen,tworoom,1,sepopt_k192_20260922,50,98.0,2,50,1000,36086148000000,40.94657341600396,47.270828204927966,ffb05fbe610ba55ba32dcfbc01cbac01105461292cacd07a98ccb756a7ab15ab
screen,tworoom,2,upstream_lewm_converted,50,92.0,2,50,1000,84798237600000,40.91863155295141,50.59334318200126,70447de464475a74dceb66c49b690f928a72aead035944e48506e727d0c1ec2c
screen,tworoom,2,sepopt_k192_20260922,50,98.0,2,50,1000,36086148000000,41.007451853947714,47.36034005484544,70447de464475a74dceb66c49b690f928a72aead035944e48506e727d0c1ec2c
screen,tworoom,42,upstream_lewm_converted,50,90.0,2,50,1000,84798237600000,41.83826967701316,51.5115055621136,e6f4526996e4bea3eba9b4c5a686c886e4b5c1846db52a193660d25266f97d7f
screen,tworoom,42,sepopt_k192_20260922,50,94.0,2,50,1000,36086148000000,41.66898421687074,47.96165610407479,e6f4526996e4bea3eba9b4c5a686c886e4b5c1846db52a193660d25266f97d7f
screen,tworoom,100,upstream_lewm_converted,50,78.0,2,50,1000,84798237600000,41.96497336192988,51.78905694698915,53e6ca05c8cdb672631be7433c1c15733c1ca1684ba77441b00cc82a604422d3
screen,tworoom,100,sepopt_k192_20260922,50,88.0,2,50,1000,36086148000000,41.87729737604968,48.207616411847994,53e6ca05c8cdb672631be7433c1c15733c1ca1684ba77441b00cc82a604422d3
final,ogb_cube,2002,upstream_lewm_converted,100,69.0,4,100,2000,169599175200000,85.01654301420785,194.22207796107978,6b78567566069fbb9726e6bf25cebbcfd98c671f82e1ccaf13643c678cf3cdf5
